seller_,seller,make_,make,no
109376,3147,Acura,20001,1
109557,3166,Acura,20001,1
109565,3171,Acura,20001,1
109723,3178,Acura,20001,1
109842,3187,Acura,20001,1
109843,3188,Acura,20001,1
109848,3189,Acura,20001,1
110080,3200,Acura,20001,9
110170,3204,Acura,20001,1
110425,3219,Acura,20001,1
110636,3233,Acura,20001,1
110790,3240,Acura,20001,2
111120,3253,Acura,20001,7
111185,3260,Acura,20001,1
111695,3282,Acura,20001,1
111862,3291,Acura,20001,15
111949,3295,Acura,20001,1
112046,3301,Acura,20001,1
112455,3322,Acura,20001,1
112527,3325,Acura,20001,1
112793,3345,Acura,20001,1
112811,3346,Acura,20001,1
113070,3361,Acura,20001,1
113266,3370,Acura,20001,2
113491,3380,Acura,20001,1
113494,3381,Acura,20001,1
113510,3384,Acura,20001,1
113529,3392,Acura,20001,1
113532,3393,Acura,20001,1
113552,3398,Acura,20001,1
113555,3399,Acura,20001,1
114126,3419,Acura,20001,2
114170,3420,Acura,20001,1
147052,3430,Acura,20001,1
147430,3450,Acura,20001,1
147633,3487,Acura,20001,1
147948,3535,Acura,20001,1
148813,3590,Acura,20001,1
148888,3599,Acura,20001,1
149857,3713,Acura,20001,1
150006,3735,Acura,20001,1
150023,3739,Acura,20001,1
150050,3746,Acura,20001,1
150126,3757,Acura,20001,1
150371,3790,Acura,20001,2
150372,3791,Acura,20001,1
150398,3799,Acura,20001,1
150448,3804,Acura,20001,1
150473,3808,Acura,20001,1
150558,3818,Acura,20001,1
150607,3828,Acura,20001,1
150677,3836,Acura,20001,1
150776,3848,Acura,20001,1
150872,3861,Acura,20001,1
151464,3949,Acura,20001,1
151520,3957,Acura,20001,1
151720,3989,Acura,20001,1
152056,4037,Acura,20001,1
152395,4087,Acura,20001,1
152470,4109,Acura,20001,1
152684,4136,Acura,20001,1
153274,4213,Acura,20001,1
153662,4263,Acura,20001,1
153759,4279,Acura,20001,1
153929,4303,Acura,20001,1
154140,4326,Acura,20001,1
154272,4351,Acura,20001,1
154530,4377,Acura,20001,1
154586,4390,Acura,20001,1
154592,4391,Acura,20001,1
154917,4434,Acura,20001,1
154937,4438,Acura,20001,1
154954,4443,Acura,20001,1
155007,4451,Acura,20001,1
155300,4499,Acura,20001,1
155655,4555,Acura,20001,1
155914,4594,Acura,20001,1
156076,4612,Acura,20001,1
157506,4754,Acura,20001,2
157650,4768,Acura,20001,1
157843,4775,Acura,20001,1
158206,4799,Acura,20001,1
158262,4808,Acura,20001,1
158432,4834,Acura,20001,1
158531,4847,Acura,20001,1
159009,4891,Acura,20001,1
159223,4899,Acura,20001,1
159803,4918,Acura,20001,1
159876,4920,Acura,20001,1
160256,4925,Acura,20001,1
160835,4934,Acura,20001,2
160918,4935,Acura,20001,1
161116,4941,Acura,20001,1
161175,4943,Acura,20001,1
162198,4955,Acura,20001,1
162655,4961,Acura,20001,1
163816,4974,Acura,20001,1
165978,5021,Acura,20001,1
166236,5029,Acura,20001,1
168195,5063,Acura,20001,2
169056,5079,Acura,20001,1
169436,5086,Acura,20001,1
169620,5095,Acura,20001,1
170735,5108,Acura,20001,1
170955,5116,Acura,20001,11
171636,5133,Acura,20001,5
172507,5163,Acura,20001,1
172828,5168,Acura,20001,1
172834,5170,Acura,20001,2
172876,5179,Acura,20001,1
172909,5193,Acura,20001,3
172919,5200,Acura,20001,1
172925,5203,Acura,20001,1
173615,5218,Acura,20001,1
173889,5225,Acura,20001,1
173975,5226,Acura,20001,1
174799,5235,Acura,20001,1
175425,5248,Acura,20001,1
176893,5300,Acura,20001,1
176931,5305,Acura,20001,3
176990,5312,Acura,20001,2
177075,5318,Acura,20001,5
177223,5328,Acura,20001,1
177307,5333,Acura,20001,1
177407,5346,Acura,20001,1
177540,5358,Acura,20001,1
177642,5362,Acura,20001,2
177688,5364,Acura,20001,1
177724,5372,Acura,20001,3
177972,5386,Acura,20001,1
177982,5389,Acura,20001,1
178579,5436,Acura,20001,2
178840,5455,Acura,20001,1
178848,5457,Acura,20001,1
178889,5462,Acura,20001,1
179167,5481,Acura,20001,1
179197,5483,Acura,20001,1
179274,5488,Acura,20001,5
179301,5489,Acura,20001,1
